City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
239,Sistranda,NO,51.76,scattered clouds,63.7256,8.834,Hotell Frøya
240,Buala,SB,79.65,light rain,-8.145,159.5921,Maringe Lagoon Lodge
241,Ulladulla,AU,46.92,overcast clouds,-35.35,150.4667,Sandpiper Motel
244,Babu,CN,76.15,broken clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
245,Tazovskiy,RU,30.72,overcast clouds,67.4667,78.7,TazHostel
246,Norman Wells,CA,68.04,broken clouds,65.282,-126.8329,Heritage Hotel
247,Turan,VN,78.78,broken clouds,16.0678,108.2208,Grand Mercure Danang
248,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
249,Bentiu,SS,85.6,broken clouds,9.2333,29.8333,Mandela hôtel
250,Taltal,CL,64.02,clear sky,-25.4,-70.4833,Residencial Karime
251,Cidreira,BR,55.69,overcast clouds,-30.1811,-50.2056,Hotel Castelo
252,Ankazoabo,MG,62.55,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
253,Dongsheng,CN,70.3,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
255,Oktyabrskoye,RU,68.14,clear sky,43.0645,44.7417,Prolesok Mini-hotel
256,Havoysund,NO,55.63,few clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
257,Dwarka,IN,81.39,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
259,Magadan,RU,36.54,overcast clouds,59.5667,150.8,Magadan hotel
260,Laguna,US,87.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
262,Salvador,SV,84.24,overcast clouds,13.8333,-88.9167,Chico's Ranch
263,Bulungu,CD,77.54,broken clouds,-4.55,18.6,Maison MC Michel
264,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
265,Yellowknife,CA,59.56,few clouds,62.456,-114.3525,The Explorer Hotel
266,Masuda,JP,62.98,clear sky,34.6667,131.85,Masuda Green Hotel Morris
267,Whitehorse,CA,72.1,scattered clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
268,Vila Franca Do Campo,PT,70.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
269,Srivardhan,IN,81.86,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
270,Marsa Matruh,EG,72.54,clear sky,31.3525,27.2453,Beau Site
271,Freeport,US,81.48,broken clouds,40.6576,-73.5832,The Freeport Inn and Marina
272,Tuatapere,NZ,45.18,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
273,Gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
274,Estelle,US,91.99,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
275,Richards Bay,ZA,61.54,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
276,Broken Hill,AU,47.66,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
277,Dawson Creek,CA,67.64,clear sky,55.7666,-120.2362,Peace Villa Motel
278,Saint-Francois,FR,72.84,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
279,Chicama,PE,64.94,few clouds,-7.8447,-79.1469,Balihai Bungalows
280,Biak,ID,76.48,overcast clouds,-0.9131,122.8766,Penginapan Kim
281,Concarneau,FR,74.19,clear sky,47.875,-3.9225,Brit Hotel de L' Océan
282,Wilhelmsburg,AT,67.1,overcast clouds,48.1057,15.6054,August Riegler
284,San Martin,AR,52.34,clear sky,-33.081,-68.4681,Finca Vivencias
285,Souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
286,Buarcos,PT,70.14,scattered clouds,40.166,-8.8768,Hotel Sweet Atlantic SPA
287,Embonas,GR,71.73,scattered clouds,36.2269,27.8564,Hotel Ataviros
288,Santa Rosa,PH,83.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
